synset,pos,gloss,emotion
SID-06595267-N,noun,a commitment to tell the truth (especially in a court of law); to lie under oath is to become subject to prosecution for perjury,anger
SID-01812363-A,adjective,"being complete of its kind and without defect or blemish; ""a perfect circle""; ""a perfect reproduction""; ""perfect happiness""; ""perfect manners""; ""a perfect specimen""; ""a perfect day""",like
SID-01567378-A,adjective,"intensely or extremely bad or unpleasant in degree or quality; ""severe pain""; ""a severe case of flu""; ""a terrible cough""; ""under wicked fire from the enemy's guns""; ""a wicked cough""",hate
SID-07408791-N,noun,the feeling that something is about to happen,anticipation
SID-01887011-V,verb,"use one's feet to advance; advance by steps; ""Walk, don't run!""; ""We walked instead of driving""; ""She walks with a slight limp""; ""The patient cannot walk yet""; ""Walk over to the cabinet""",anticipation
SID-02094206-A,adjective,"having little money or few possessions; ""deplored the gap between rich and poor countries""; ""the proverbial poor artist living in a garret""",disgust
SID-00366013-R,adverb,"in an immaculate manner; ""gone was the casually dressed Canadian she had thought a backwoodsman--this man was immaculately tailored""",love
SID-00081618-R,adverb,"in a sane or lucid manner; ""she is behaving rather sanely these days even though we know she is schizophrenic""",like
SID-00315696-R,adverb,"in a dishonorable manner or to a dishonorable degree; ""his grades were disgracefully low""",disgust
SID-00619646-A,adjective,"filled with satisfaction; ""a satisfied customer""",joy
SID-01791206-V,verb,"cause aversion in; offend the moral sense of; ""The pornographic pictures sickened us""",disgust
SID-00087725-A,adjective,oblivious of dangers or perils or calmly resolute in facing them,calmness
SID-01205110-A,adjective,"easily moved to pity or sorrow; ""a softhearted judge""",like
SID-07401998-N,noun,disgust so strong it makes you feel sick,disgust
SID-00214835-R,adverb,"in an amazing manner; to everyone's surprise; ""amazingly, he finished medical school in three years""",surprise
SID-01764176-V,verb,"make timid or fearful; ""Her boss intimidates her""",fear
SID-02531957-A,adjective,"extremely poisonous or injurious; producing venom; ""venomous snakes""; ""a virulent insect bite""",fear
SID-02096154-A,adjective,"suggestive of or characterized by great expense; ""a rich display""",like
SID-00217322-A,adjective,"restoring confidence and relieving anxiety; ""a very reassuring remark""",calmness
SID-01806952-A,adjective,not penitent or remorseful,joy
SID-01795181-V,verb,"fill with sublime emotion; tickle pink; ""The children were thrilled at the prospect of going to the movies""; ""He was inebriated by his phenomenal success""",joy
SID-07444809-N,noun,hatred of new ideas,disgust
SID-01725844-A,adjective,"made less hopeful or enthusiastic; ""desperate demoralized people looking for work""; ""felt discouraged by the magnitude of the problem""; ""the disheartened instructor tried vainly to arouse their interest""",sadness
SID-10137542-N,noun,"a woman who wears clothes to display fashions; ""she was too fat to be a mannequin""",like
SID-07440729-N,noun,"a strong positive emotion of regard and affection; ""his love for his work""; ""children need a lot of love""",love
SID-01863734-A,adjective,"affording pleasure; being in harmony with your taste or likings; ""a pleasant person to be around""; ""we had a pleasant evening together""; ""a pleasant scene""; ""pleasant sensations""",like
SID-01213093-A,adjective,"tending to promote physical well-being; beneficial to health; ""beneficial effects of a balanced diet""; ""a good night's sleep""; ""the salutary influence of pure air""",love
SID-01126338-V,verb,hit with a missile from a weapon,fear
SID-07452462-N,noun,a feeling of excitement,joy
SID-07425411-N,noun,a feeling of extreme joy,joy
SID-02421110-A,adjective,"of the highest quality; ""an ace reporter""; ""a crack shot""; ""a first-rate golfer""; ""a super party""; ""played top-notch tennis""; ""an athlete in tiptop condition""; ""she is absolutely tops""",like
SID-01768744-V,verb,"cause to lose courage; ""dashed by the refusal""",fear
SID-03059217-A,adjective,"relating to or based on function especially as opposed to structure; ""the problem now is not a constitutional one; it is a functional one""; ""delegates elected on a functional rather than a geographical basis""",like
SID-01980315-A,adjective,"shaped or conditioned or disciplined by training; often used as a combining form; ""a trained mind""; ""trained pigeons""; ""well-trained servants""",like
SID-13805740-N,noun,the condition of being free; the power to act or speak or think without externally imposed restraints,hope
SID-00131233-R,adverb,"in a professional manner; ""professionally trained staff""",like
SID-00102439-A,adjective,"no longer having or seeming to have or expecting to have life; ""the nerve is dead""; ""a dead pallor""; ""he was marked as a dead man by the assassin""",sadness
SID-14131464-N,noun,"a symptom of some physical hurt or disorder; ""the patient developed severe pain and distension""",anger
SID-02374312-V,verb,"give a promotion to or assign to a higher position; ""John was kicked upstairs when a replacement was hired""; ""Women tend not to advance in the major law firms""; ""I got promoted after many years of hard work""",like
SID-02531175-A,adjective,"showing a care; ""a caring mother""",love
SID-00085619-A,adjective,"made afraid; ""the frightened child cowered in the corner""; ""too shocked and scared to move""",fear
SID-09262574-N,noun,"a small lake; ""the pond was too small for sailing""",joy
SID-01416649-A,adjective,"causing or marked by grief or anguish; ""a grievous loss""; ""a grievous cry""; ""her sigh was heartbreaking""; ""the heartrending words of Rabin's granddaughter""",sadness
SID-01753501-N,noun,predatory arachnid that usually has silk-spinning organs at the back end of the body; they spin silk to make cocoons for eggs or traps for prey,fear
SID-07411966-N,noun,a restless desire for change and excitement,anger
SID-02169677-A,adjective,"not firm or firmly fixed; likely to fail or give way; ""the hinge is insecure""",disgust
SID-10012554-N,noun,a performer who receives prominent billing,like
SID-01457370-V,verb,"receive someone, as into one's house",like
SID-02257731-A,adjective,"unpleasantly and excessively suave or ingratiating in manner or speech; ""buttery praise""; ""gave him a fulsome introduction""; ""an oily sycophantic press agent""; ""oleaginous hypocrisy""; ""smarmy self-importance""; ""the unctuous Uriah Heep""; ""soapy compliments""",disgust
SID-00244881-A,adjective,harmful or evil in intent or effect,disgust
SID-02514895-A,adjective,"tired of the world; ""bored with life""; ""strolled through the museum with a bored air""",sadness
SID-07254694-N,noun,"the event of dying or departure from life; ""her death came as a terrible shock""; ""upon your decease the capital will pass to your grandchildren""",fear
SID-02176046-A,adjective,"causing intense interest, curiosity, or emotion",like
SID-02258474-V,verb,make neither profit nor loss,like
SID-07422651-N,noun,feelings of anxiety that make you tense and irritable,anger
SID-13593557-N,noun,"(often followed by `of') a large number or amount or extent; ""a batch of letters""; ""a deal of trouble""; ""a lot of money""; ""he made a mint on the stock market""; ""it must have cost plenty""",anticipation
SID-01759723-V,verb,"have or feel a dislike or distaste for; ""I really dislike this salesman""",disgust
SID-00313191-V,verb,"make shorter than originally intended; reduce or retrench in length or duration; ""He shortened his trip due to illness""",disgust
SID-07430388-N,noun,sadness caused by grief or affliction,sadness
SID-13171968-N,noun,the money risked on a gamble,anger
SID-07437962-N,noun,the feeling of being displeased or annoyed or dissatisfied with someone or something,disgust
SID-08172379-N,noun,the body of faculty and students at a university,hope
SID-02633529-A,adjective,"containing or characterized by a great deal of water vapor; ""humid air""; ""humid weather""",disgust
SID-00842279-V,verb,"provoke or stir up; ""incite a riot""; ""set off great unrest among the people""",ambiguous
SID-10328478-N,noun,a woman who engages in sexual intercourse for money,disgust
SID-00092712-A,adjective,"marked by intense agitation or emotion; ""worked at a feverish pace""",ambiguous
SID-00085776-A,adjective,stricken with horror,fear
SID-01118942-A,adjective,"very unfriendly; ""a hostile attitude""",disgust
SID-01193403-A,adjective,"not feeling or showing gratitude; ""ungrateful heirs""; ""How sharper than a serpent's tooth it is / To have a thankless child!""- Shakespeare",disgust
SID-00386017-A,adjective,"cheerful and bright; ""a beaming smile""; ""a glad May morning""",joy
SID-01320298-N,noun,the virus that causes acquired immune deficiency syndrome (AIDS); it replicates in and kills the helper T cells,fear
SID-01852686-V,verb,"move obliquely or sideways, usually in an uncontrolled manner; ""the wheels skidded against the sidewalk""",disgust
SID-07142943-N,noun,the formal presentation of and opposition to a stated proposition (usually followed by a vote),disgust
SID-02505082-V,verb,"fail to do something; leave something undone; ""She failed to notice that her child was no longer in his crib""; ""The secretary failed to call the customer and the company lost the account""",disgust
SID-00783869-A,adjective,"hard to deal with; especially causing pain or embarrassment; ""awkward (or embarrassing or difficult) moments in the discussion""; ""an awkward pause followed his remark""; ""a sticky question""; ""in the unenviable position of resorting to an act he had planned to save for the climax of the campaign""",disgust
SID-07412415-N,noun,violent agitation,ambiguous
SID-00413130-N,noun,the act of clasping another person in the arms (as in greeting or affection),love
SID-13625063-N,noun,a tense of verbs used in describing action that has been completed (sometimes regarded as perfective aspect),like
SID-04492403-N,noun,"an architectural partition with a height and length greater than its thickness; used to divide or enclose an area or to support another structure; ""the south wall had a small window""; ""the walls were covered with pictures""",ambiguous
SID-00188249-R,adverb,"without emotional agitation; ""tranquilly she went on with her work""",calmness
SID-00104444-V,verb,act in a funny or teasing way,joy
SID-01415113-A,adjective,"experiencing or marked by or expressing sorrow especially that associated with irreparable loss; ""sorrowful widows""; ""a sorrowful tale of death and despair""; ""sorrowful news""; ""even in laughter the heart is sorrowful""- Proverbs 14:13",sadness
SID-00572681-A,adjective,"lacking in interest or care or feeling; ""the average American...is unconcerned that his or her plight is the result of a complex of personal and economic and governmental actions...beyond the normal citizen's comprehension and control""; ""blithely unconcerned about his friend's plight""",calmness
SID-01294526-A,adjective,characterized by friendship and good will,like
SID-01397256-A,adjective,"lacking wit or imagination; ""a pedestrian movie plot""",disgust
SID-01750232-A,adjective,"repeated too often; overfamiliar through overuse; ""bromidic sermons""; ""his remarks were trite and commonplace""; ""hackneyed phrases""; ""a stock answer""; ""repeating threadbare jokes""; ""parroting some timeworn axiom""; ""the trite metaphor `hard as nails'""",disgust
SID-00153605-A,adjective,"appropriate for a condition or purpose or occasion or a person's character, needs; ""everything in its proper place""; ""the right man for the job""; ""she is not suitable for the position""; ""he is not a suitable husband for her""",hope
SID-01810088-V,verb,"wish, long, or crave for (something, especially the property of another person); ""She covets her sister's house""",disgust
SID-01730458-A,adjective,"thrown into a state of disarray or confusion; ""troops fleeing in broken ranks""; ""a confused mass of papers on the desk""; ""the small disordered room""; ""with everything so upset""",disgust
SID-09308605-N,noun,(astronomy) a celestial body of hot gases that radiates energy derived from thermonuclear reactions in the interior,like
SID-07333958-N,noun,a widespread outbreak of an infectious disease; many people are infected at the same time,fear
SID-02397810-V,verb,grant freedom to; free from confinement,like
SID-14668664-N,noun,"a soft greasy substance occurring in organic tissue and consisting of a mixture of lipids (mostly triglycerides); ""pizza has too much fat""",disgust
SID-00176537-R,adverb,"without hope; ""he wondered bleakly""",hope
SID-07395684-N,noun,"a predisposition to like something; ""he had a fondness for whiskey""",like
SID-01504975-A,adjective,"characterized by or producing sound of great volume or intensity; ""a group of loud children""; ""loud thunder""; ""her voice was too loud""; ""loud trombones""",disgust
SID-00201702-R,adverb,"it is hoped; ""hopefully the weather will be fine on Sunday""",hope
SID-01220290-V,verb,"use a knife on; ""The victim was knifed to death""",fear
SID-04593017-N,noun,the trait of being frivolous; not serious or sensible,disgust
SID-00265607-V,verb,"make senseless or dizzy by or as if by a blow; ""stun fish""",surprise
SID-01262300-A,adjective,used of sounds and voices; low in pitch or frequency,disgust
SID-01430530-V,verb,"make a hole with a pointed power or hand tool; ""don't drill here, there's a gas pipe""; ""drill a hole into the wall""; ""drill for oil""",disgust
SID-01437585-A,adjective,"extraordinarily large in size or extent or amount or power or degree; ""an enormous boulder""; ""enormous expenses""; ""tremendous sweeping plains""; ""a tremendous fact in human experience; that a whole civilization should be dependent on technology""- Walter Lippman; ""a plane took off with a tremendous noise""",like
SID-01799501-V,verb,fail to satisfy,sadness
SID-00347773-R,adverb,"in an alarming manner; ""the disturbing thing about the Minister's behavior is that far from being artificial, it too often rings frighteningly true""",fear
SID-01809579-V,verb,"expect and wish; ""I trust you will behave better from now on""; ""I hope she understands that she cannot expect a raise""",ambiguous
SID-07426064-N,noun,"the swift release of a store of affective force; ""they got a great bang out of it""; ""what a boot!""; ""he got a quick rush from injecting heroin""; ""he does it for kicks""",joy
SID-01566182-A,adjective,"marked by extreme intensity of emotions or convictions; inclined to react violently; fervid; ""fierce loyalty""; ""in a tearing rage""; ""vehement dislike""; ""violent passions""",anticipation
SID-07417668-N,noun,fear resulting from the awareness of danger,fear
SID-00189013-A,adjective,(of persons) pleasant in appearance and personality,like
SID-09824556-N,noun,a very pretty girl who works as a photographer's model,love
SID-01035964-A,adjective,"expressing or manifesting praise or approval; ""approbative criticism""",like
SID-04519965-N,noun,a ship engaged in whale fishing,disgust
SID-00096319-R,adverb,"away from a more central or a more northerly place; ""was sent down to work at the regional office""; ""worked down on the farm""; ""came down for the wedding""; ""flew down to Florida""",disgust
SID-01747932-A,adjective,"being or productive of something fresh and unusual; or being as first made or thought of; ""a truly original approach""; ""with original music""; ""an original mind""",like
SID-00084796-A,adjective,experiencing a sudden sense of danger,fear
SID-00761805-V,verb,"cause to do; cause to act in a specified manner; ""The ads induced me to buy a VCR""; ""My children finally got me to buy a computer""; ""My wife made me buy a new sofa""",anticipation
SID-01801828-V,verb,"depress or discourage; ""The news of the city's surrender chilled the soldiers""",fear
SID-00156128-R,adverb,"in mental comfort; without stress; ""he works comfortably on three continents""",joy
SID-04143067-N,noun,a structure that provides privacy and protection from danger,hope
SID-01775138-V,verb,cause to be ashamed,disgust
SID-00972841-A,adjective,"high in price or charging high prices; ""expensive clothes""; ""an expensive shop""",disgust
SID-01797689-V,verb,give moral or emotional strength to,joy
SID-08021209-N,noun,the federal department responsible for safeguarding national security of the United States; created in 1947,calmness
SID-02079841-A,adjective,"clear and sharp and ringing; ""the bright sound of the trumpet section""; ""the brilliant sound of the trumpets""",like
SID-00316044-R,adverb,"with disgust; ""disgustedly, she averted her eyes when they brought in the mutilated body of the horse""",disgust
SID-01882994-A,adjective,"characterized by or displaying negation or denial or opposition or resistance; having no positive features; ""a negative outlook on life""; ""a colorless negative personality""; ""a negative evaluation""; ""a negative reaction to an advertising campaign""",hate
SID-04727328-N,noun,the quality of being believable or trustworthy,anticipation
SID-01439559-A,adjective,"unusually great in size or amount or degree or especially extent or scope; ""huge government spending""; ""huge country estates""; ""huge popular demand for higher education""; ""a huge wave""; ""the Los Angeles aqueduct winds like an immense snake along the base of the mountains""; ""immense numbers of birds""; ""at vast (or immense) expense""; ""the vast reaches of outer space""; ""the vast accumulation of knowledge...which we call civilization""- W.R.Inge",anticipation
SID-13785042-N,noun,"harmony of people's opinions or actions or characters; ""the two parties were in agreement""",like
SID-02517239-A,adjective,"capable of being borne or endured; ""the climate is at least tolerable""",calmness
SID-02376002-A,adjective,"not conforming to standard usage; ""the following use of `access' was judged unacceptable by a panel of linguists; `You can access your cash at any of 300 automatic tellers'""",disgust
SID-00396923-R,adverb,"in a malevolent manner; ""she gossips malevolently""",disgust
SID-07061168-N,noun,"a verbal formula believed to have magical force; ""he whispered a spell as he moved his hands""; ""inscribed around its base is a charm in Balinese""",like
SID-07435698-N,noun,a feeling of being unable to manage,sadness
SID-09771976-N,noun,"a human offspring (son or daughter) of any age; ""they had three children""; ""they were able to send their kids to college""",love
SID-07405447-N,noun,feeling embarrassed about yourself,disgust
SID-02497103-V,verb,accuse formally of a crime,sadness
SID-00372004-R,adverb,"in an inadequate manner or to an inadequate degree; ""the temporary camps were inadequately equipped""",disgust
SID-07409401-N,noun,nervous excitement of an inexperienced hunter,ambiguous
SID-00610473-V,verb,"identify incorrectly; ""Don't mistake her for her twin sister""",disgust
SID-04568071-N,noun,the quality of being secluded from the presence or view of others,like
SID-00425953-A,adjective,"strong; intense; ""deep purple""; ""a rich red""",like
SID-00427859-R,adverb,"in a plaintive manner; ""the last note of the song rang out plaintively""",sadness
SID-07417148-N,noun,an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight),fear
SID-00188101-R,adverb,"with self-possession (especially in times of stress); ""he spoke calmly to the rioting students""",calmness
SID-01521359-A,adjective,"having or bringing misfortune; ""Friday the 13th is an unlucky date""",sadness
SID-02694762-V,verb,"be in a huff and display one's displeasure; ""She is pouting because she didn't get what she wanted""",disgust
SID-01148583-N,noun,putting a condemned person to death,fear
SID-04830154-N,noun,"the trait of lacking restraint or control; reckless freedom from inhibition or worry; ""she danced with abandon""",disgust
SID-01951498-A,adjective,"kept safe or defended from danger or injury or loss; ""the most protected spot I could find""",calmness
SID-02447823-A,adjective,"added to a regular schedule; ""a special holiday flight""; ""put on special buses for the big game""",like
SID-02951564-N,noun,a large building formerly occupied by a ruler and fortified against attack,like
SID-00713387-A,adjective,"harmed or injured or spoiled; ""I won't buy damaged goods""; ""the storm left a wake of badly damaged buildings""",fear
SID-01434452-A,adjective,"above average in size or number or quantity or magnitude or extent; ""a large city""; ""set out for the big city""; ""a large sum""; ""a big (or large) barn""; ""a large family""; ""big businesses""; ""a big expenditure""; ""a large number of newspapers""; ""a big group of scientists""; ""large areas of the world""",anticipation
SID-01727638-A,adjective,"noisy and lacking in restraint or discipline; ""a boisterous crowd""; ""a social gathering that became rambunctious and out of hand""; ""a robustious group of teenagers""; ""beneath the rumbustious surface of his paintings is sympathy for the vulnerability of ordinary human beings""; ""an unruly class""",disgust
SID-10434021-N,noun,a person who shoots a gun (as regards their ability),fear
SID-10046060-N,noun,someone who is adored blindly and excessively,like
SID-01453383-A,adjective,"prohibited by law or by official or accepted rules; ""an illegal chess move""",disgust
SID-01171307-A,adjective,"exceptionally bad or displeasing; ""atrocious taste""; ""abominable workmanship""; ""an awful voice""; ""dreadful manners""; ""a painful performance""; ""terrible handwriting""; ""an unspeakable odor came sweeping into the room""",anger
SID-00313987-A,adjective,"like or characteristic of or befitting a brother; ""brotherly feelings""; ""close fraternal ties""",like
SID-07420208-N,noun,apprehension about what is going to happen,fear
SID-00166809-A,adjective,"skillful (or showing skill) in adapting means to ends; ""cool prudence and sensitive selfishness along with quick perception of what is possible--these distinguish an adroit politician""; ""came up with a clever story""; ""an ingenious press agent""; ""an ingenious scheme""",like
SID-14101237-N,noun,"breaking of hard tissue such as bone; ""it was a nasty fracture""; ""the break seems to have been caused by a fall""",fear
SID-00242312-A,adjective,"distorted and unnatural in shape or size; abnormal and hideous; ""tales of grotesque serpents eight fathoms long that churned the seas""; ""twisted into monstrous shapes""",fear
SID-04825329-N,noun,lack of sophistication or worldliness,disgust
SID-13311138-N,noun,the withdrawal of heat to change something from a liquid to a solid,disgust
SID-00303793-R,adverb,"with desperation; ""`Why can't you understand?,' she asked despairingly""",sadness
SID-00048420-A,adjective,(of a disease) having a rapid course and violent effect,sadness
SID-00895849-A,adjective,unsusceptible to or destitute of or showing no emotion,disgust
SID-00451709-A,adjective,"clear to the mind; ""a clear and present danger""; ""a clear explanation""; ""a clear case of murder""; ""a clear indication that she was angry""; ""gave us a clear idea of human nature""",like
SID-02301458-A,adjective,"having or showing or requiring special skill; ""only the most skilled gymnasts make an Olympic team""; ""a skilled surgeon has many years of training and experience""; ""a skilled reconstruction of her damaged elbow""; ""a skilled trade""",like
SID-09619028-N,noun,a person or institution against whom an action is brought in a court of law; the person being sued or accused,fear
SID-02487271-A,adjective,being in a tense state,anger
SID-00528347-N,noun,a dance involving a rhythmical stamping step,anticipation
SID-01765646-V,verb,"fill with apprehension or alarm; cause to be unpleasantly surprised; ""I was horrified at the thought of being late for my interview""; ""The news of the executions horrified us""",fear
SID-00448874-V,verb,"fill something that had previously been emptied; ""refill my glass, please""",like
SID-00503860-A,adjective,"free from stress or conducive to mental ease; having or affording peace of mind; ""was settled in a comfortable job, one for which he was well prepared""; ""the comfortable thought that nothing could go wrong""; ""was comfortable in his religious beliefs""; ""she's a comfortable person to be with""; ""she felt comfortable with her fiance's parents""",joy
SID-00451289-R,adverb,"in a comfortable unselfconscious manner; ""they were naked, unshy, and unselfconsciously beautiful""",like
SID-07389868-N,noun,vigorous and enthusiastic enjoyment,joy
SID-01960586-A,adjective,"marked by meekness or modesty; not arrogant or prideful; ""a humble apology""; ""essentially humble...and self-effacing, he achieved the highest formal honors and distinctions""- B.K.Malinowski",sadness
SID-02256267-A,adjective,"earnest; ""one's dearest wish""; ""devout wishes for their success""; ""heartfelt condolences""",anticipation
SID-07518769-N,noun,any of various baked foods made of dough or batter,like
SID-00753165-V,verb,"discuss the terms of an arrangement; ""They negotiated the sale of the house""",anticipation
SID-00387666-A,adjective,"lacking cheer; depressing; ""something cheerless about the room""; ""a moody and uncheerful person""; ""an uncheerful place""",sadness
SID-01512123-A,adjective,lovable especially in a childlike or naive way,love
SID-01408291-A,adjective,"making lively and cheerful; ""the exhilarating effect of mountain air""",joy
SID-00187315-R,adverb,"with anxiety or apprehension; ""we watched anxiously""",fear
SID-01803686-A,adjective,"not disturbed by strife or turmoil or war; ""a peaceful nation""; ""peaceful times""; ""a far from peaceful Christmas""; ""peaceful sleep""",calmness
SID-00878074-A,adjective,"lacking the power to produce a desired effect; ""laws that are inefficacious in stopping crime""",disgust
SID-01519314-A,adjective,not giving or reciprocating affection,disgust
SID-00585150-V,verb,"be fully aware of; realize fully; ""Do you appreciate the full meaning of this letter?""",like
SID-00068933-N,noun,"a wrong action attributable to bad judgment or ignorance or inattention; ""he made a bad mistake""; ""she was quick to point out my errors""; ""I could understand his English in spite of his grammatical faults""",disgust
SID-02810483-N,noun,a woman's very brief bathing suit,like
SID-01412299-A,adjective,"showing or causing joy and pleasure; especially made happy; ""glad you are here""; ""glad that they succeeded""; ""gave a glad shout""; ""a glad smile""; ""heard the glad news""; ""a glad occasion""",joy
SID-07404036-N,noun,an absence of concern for the welfare of others,fear
SID-00031989-A,adjective,"immoderately desirous of acquiring e.g. wealth; ""they are avaricious and will do anything for money""; ""casting covetous eyes on his neighbor's fields""; ""a grasping old miser""; ""grasping commercialism""; ""greedy for money and power""; ""grew richer and greedier""; ""prehensile employers stingy with raises for their employees""",disgust
SID-00295825-A,adjective,"devoid of or deficient in light or brightness; shadowed or black; ""sitting in a dark corner""; ""a dark day""; ""dark shadows""; ""dark as the inside of a black cat""",disgust
SID-00330439-R,adverb,"causing embarrassment; ""the great man was embarrassingly humble and self-effacing""",disgust
SID-07435041-N,noun,sad feelings of gloom and inadequacy,sadness
SID-02645422-A,adjective,"as from an altitude or distance; ""a bird's-eye survey""; ""a panoramic view""",like
SID-00406921-R,adverb,"in a mournful manner; ""the young man stared into his glass mournfully""",sadness
SID-13580255-N,noun,"a small quantity of something moist or liquid; ""a dab of paint""; ""a splatter of mud""; ""just a splash of whiskey""",like
SID-05562837-N,noun,"imagination unrestricted by reality; ""a schoolgirl fantasy""",anticipation
SID-00193497-R,adverb,"in a sympathetic manner; ""she listened to him sympathetically""",like
SID-00623305-A,adjective,"persistently continual; ""the bluejay's insistent cry""",disgust
SID-01294335-A,adjective,"not friendly; ""an unfriendly act of aggression""; ""an inimical critic""",disgust
SID-07433208-N,noun,"sadness associated with some wrong done or some disappointment; ""he drank to drown his sorrows""; ""he wrote a note expressing his regret""; ""to his rue, the error cost him the game""",sadness
SID-07440322-N,noun,the feeling of discouragement in the face of someone's superior fame or wealth or status etc.,sadness
